Overhead + backofftime 0(s);Overhead + backofftime 1(s);Overhead + backofftime 2(s);Overhead + backofftime 3(s);Overhead + backofftime 4(s);Overhead + backofftime 5(s);Overhead + backofftime 6(s);Overhead + backofftime 7(s);Overhead + backofftime 8(s);Overhead + backofftime 9(s);Overhead + backofftime 10(s);Overhead + backofftime 11(s);Distance host 0(m);Distance host 1(m);Distance host 2(m);Distance host 3(m);Distance host 4(m);Distance host 5(m);Distance host 6(m);Distance host 7(m);Distance host 8(m);Distance host 9(m);Distance host 10(m);Distance host 11(m);Min max position X (m);Min max position Y (m);Likelihood position X (m);Likelihood position Y (m);Real position X (m);Real position Y (m)
0.001142;0.001142;0.00281001;0.003654017;0.004598018;0.005462022;0.006346027;0.007250032;0.008114033;0.009018038;0.009902042;0.010806043;0.50005382;123515.9929;1.00010764;0.25002691;0.50005382;0.75008073;0.75008073;0.25002691;0.75008073;0.50005382;0.25002691;1.00010764;0.75002691;0;-2034160064;859504253;1;0
0.001142;0.001142;0.00281001;0.003654017;0.004598018;0.005462022;0.006346027;0.007250032;0.008114033;0.009018038;0.009902042;0.010806043;0.50005382;123515.9929;1.00010764;0.25002691;0.50005382;0.75008073;0.75008073;0.25002691;0.75008073;0.50005382;0.25002691;1.00010764;0.75002691;0;-2034160064;859504253;1;0
0.001142;0.001142;0.00281001;0.003654017;0.004598018;0.005462022;0.006346027;0.007250032;0.008114033;0.009018038;0.009902042;0.010806043;0.50005382;123515.9929;1.00010764;0.25002691;0.50005382;0.75008073;0.75008073;0.25002691;0.75008073;0.50005382;0.25002691;1.00010764;0.75002691;0;-2034160064;859504253;1;0
0.001142;0.001142;0.00281001;0.003654017;0.004598018;0.005462022;0.006346027;0.007250032;0.008114033;0.009018038;0.009902042;0.010806043;0.50005382;123515.9929;1.00010764;0.25002691;0.50005382;0.75008073;0.75008073;0.25002691;0.75008073;0.50005382;0.25002691;1.00010764;0.75002691;0;-2034160064;859504253;1;0
0.001142;0.001142;0.00281001;0.003654017;0.004598018;0.005462022;0.006346027;0.007250032;0.008114033;0.009018038;0.009902042;0.010806043;0.50005382;123515.9929;1.00010764;0.25002691;0.50005382;0.75008073;0.75008073;0.25002691;0.75008073;0.50005382;0.25002691;1.00010764;0.75002691;0;-2034160064;859504253;1;0
0.001142;0.001142;0.00281001;0.003654017;0.004598018;0.005462022;0.006346027;0.007250032;0.008114033;0.009018038;0.009902042;0.010806043;0.50005382;123515.9929;1.00010764;0.25002691;0.50005382;0.75008073;0.75008073;0.25002691;0.75008073;0.50005382;0.25002691;1.00010764;0.75002691;0;-2034160064;859504253;1;0
0.001142;0.001142;0.00281001;0.003654017;0.004598018;0.005462022;0.006346027;0.007250032;0.008114033;0.009018038;0.009902042;0.010806043;0.50005382;123515.9929;1.00010764;0.25002691;0.50005382;0.75008073;0.75008073;0.25002691;0.75008073;0.50005382;0.25002691;1.00010764;0.75002691;0;-2034160064;859504253;1;0
0.001142;0.001142;0.00281001;0.003654017;0.004598018;0.005462022;0.006346027;0.007250032;0.008114033;0.009018038;0.009902042;0.010806043;0.50005382;123515.9929;1.00010764;0.25002691;0.50005382;0.75008073;0.75008073;0.25002691;0.75008073;0.50005382;0.25002691;1.00010764;0.75002691;0;-2034160064;859504253;1;0
0.001142;0.001142;0.00281001;0.003654017;0.004598018;0.005462022;0.006346027;0.007250032;0.008114033;0.009018038;0.009902042;0.010806043;0.50005382;123515.9929;1.00010764;0.25002691;0.50005382;0.75008073;0.75008073;0.25002691;0.75008073;0.50005382;0.25002691;1.00010764;0.75002691;0;-2034160064;859504253;1;0
0.001142;0.001142;0.00281001;0.003654017;0.004598018;0.005462022;0.006346027;0.007250032;0.008114033;0.009018038;0.009902042;0.010806043;0.50005382;123515.9929;1.00010764;0.25002691;0.50005382;0.75008073;0.75008073;0.25002691;0.75008073;0.50005382;0.25002691;1.00010764;0.75002691;0;-2034160064;859504253;1;0
