Overhead + backofftime 0(s);Overhead + backofftime 1(s);Overhead + backofftime 2(s);Overhead + backofftime 3(s);Overhead + backofftime 4(s);Overhead + backofftime 5(s);Overhead + backofftime 6(s);Overhead + backofftime 7(s);Overhead + backofftime 8(s);Overhead + backofftime 9(s);Overhead + backofftime 10(s);Overhead + backofftime 11(s);Distance host 0(m);Distance host 1(m);Distance host 2(m);Distance host 3(m);Distance host 4(m);Distance host 5(m);Distance host 6(m);Distance host 7(m);Distance host 8(m);Distance host 9(m);Distance host 10(m);Distance host 11(m);Min max position X (m);Min max position Y (m);Likelihood position X (m);Likelihood position Y (m);Real position X (m);Real position Y (m)
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001182;0.002166033;0.0030302;0.003894234;0.004778334;0.005622534;0.006466734;0.007350934;0.008234967;0.009079067;0.009923168;0.010767334;4.999938615;24.99999287;4.999938615;15.00011564;29.99993148;29.99993148;29.99993148;4.999938615;15.00011564;15.00011564;24.99999287;32.01573597;25.00012991;-20.00005425;30.00003839;-0.000121792;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001182;0.002166033;0.0030302;0.003894234;0.004778334;0.005622534;0.006466734;0.007350934;0.008234967;0.009079067;0.009923168;0.010767334;4.999938615;24.99999287;4.999938615;15.00011564;29.99993148;29.99993148;29.99993148;4.999938615;15.00011564;15.00011564;24.99999287;32.01573597;25.00012991;-20.00005425;30.00003839;-0.000121792;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001182;0.002166033;0.0030302;0.003894234;0.004778334;0.005622534;0.006466734;0.007350934;0.008234967;0.009079067;0.009923168;0.010767334;4.999938615;24.99999287;4.999938615;15.00011564;29.99993148;29.99993148;29.99993148;4.999938615;15.00011564;15.00011564;24.99999287;32.01573597;25.00012991;-20.00005425;30.00003839;-0.000121792;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
0.001182;0.002166033;0.0030302;0.003894234;0.004778334;0.005622534;0.006466734;0.007350934;0.008234967;0.009079067;0.009923168;0.010767334;4.999938615;24.99999287;4.999938615;15.00011564;29.99993148;29.99993148;29.99993148;4.999938615;15.00011564;15.00011564;24.99999287;32.01573597;25.00012991;-20.00005425;30.00003839;-0.000121792;30;0
0.001242;0.002106167;0.00295038;0.003874414;0.004718514;0.005562614;0.006426814;0.007310847;0.008174881;0.009099081;0.010003281;0.010847448;24.99999287;32.01573597;4.999938615;15.00011564;15.00011564;29.99993148;4.999938615;4.999938615;29.99993148;29.99993148;24.99999287;15.00011564;25;0;30.00005197;2.41846E-05;30;0
