Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Overhead + backofftime 3(s),Overhead + backofftime 4(s),Overhead + backofftime 5(s),Overhead + backofftime 6(s),Overhead + backofftime 7(s),Overhead + backofftime 8(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Distance host 6(m),Distance host 7(m),Distance host 8(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0011620000,0.0020060200,0.0028700400,0.0037340600,0.0046380850,0.0056621051,0.0065861251,0.0074501451,0.0083341651,4.7987778752,1.2012683792,3.0000231272,1.9483511845,4.7987778752,4.7987778752,1.2012683792,1.2012683792,4.7987778752,99.5264585973,99.9999500000,100.0060184940,98.5200904361,100.0000000000,100.0000000000,
0.0013420000,0.0022060200,0.0030700400,0.0039540650,0.0048180850,0.0057621051,0.0066061251,0.0074701451,0.0083541651,4.7987778752,3.0000231272,3.7471059325,1.2012683792,4.7987778752,-0.5974863688,4.7987778752,6.5975326232,1.2012683792,100.8993773740,100.6983773740,100.7995307328,101.8732776804,100.0000000000,100.0000000000,
0.0011820000,0.0020260200,0.0028900400,0.0039540600,0.0048380801,0.0056821051,0.0066061251,0.0074701451,0.0083341651,1.2012683792,-0.5974863688,-0.5974863688,6.5975326232,0.1495964365,6.5975326232,6.5975326232,1.2012683792,-0.5974863688,100.0000000000,100.6285414027,101.6762422688,98.8170802155,100.0000000000,100.0000000000,
0.0012220000,0.0021860200,0.0030300400,0.0038940600,0.0047380801,0.0056621051,0.0065861251,0.0074301451,0.0083141651,1.2012683792,6.5975326232,1.2012683792,3.0000231272,1.9483511845,-0.5974863688,6.5975326232,4.7987778752,-0.5974863688,100.8993773740,99.1005726260,101.5605259938,98.1400503374,100.0000000000,100.0000000000,
0.0011620000,0.0020060200,0.0029100450,0.0038340650,0.0047180850,0.0055621051,0.0064061251,0.0075101451,0.0083541651,3.0000231272,1.9483511845,-0.5974863688,3.0000231272,6.5975326232,3.0000231272,-0.5974863688,3.0000231272,3.0000231272,101.5000000000,101.5000000000,100.2498003463,99.3774745346,100.0000000000,100.0000000000,
0.0011820000,0.0020460200,0.0029100400,0.0038340600,0.0047180801,0.0056421001,0.0065461201,0.0074101451,0.0083141651,1.2012683792,-0.5974863688,4.7987778752,3.0000231272,6.5975326232,3.0000231272,3.7471059325,4.7987778752,3.0000231272,101.5000000000,99.1005726260,101.5547155253,101.6922401909,100.0000000000,100.0000000000,
0.0011420000,0.0020660200,0.0029100400,0.0038940600,0.0047380801,0.0056021001,0.0064461201,0.0072901401,0.0082741651,6.5975326232,3.0000231272,1.2012683792,4.7987778752,1.2012683792,4.7987778752,1.2012683792,7.3446154285,-0.5974863688,99.8506226260,100.8993273740,99.3421818138,102.4165814523,100.0000000000,100.0000000000,
0.0011820000,0.0020260200,0.0028700400,0.0038340600,0.0047180801,0.0055621001,0.0065861201,0.0075101401,0.0083541601,4.7987778752,-0.5974863688,6.5975326232,3.0000231272,4.7987778752,6.5975326232,1.2012683792,-0.5974863688,5.5458606805,100.7500000000,100.8993273740,99.5042833465,100.3388718277,100.0000000000,100.0000000000,
0.0011620000,0.0020060200,0.0028500400,0.0037140600,0.0045580801,0.0054221001,0.0065261201,0.0074101401,0.0083541651,3.0000231272,6.5975326232,4.7987778752,1.2012683792,1.2012683792,-0.5974863688,3.0000231272,7.3446154285,6.5975326232,100.6006226260,101.1003273740,98.8476765464,97.6001963608,100.0000000000,100.0000000000,
0.0012620000,0.0021460200,0.0030100400,0.0039940600,0.0048780801,0.0057221001,0.0065861201,0.0075101451,0.0083541651,-0.5974863688,4.7987778752,1.2012683792,6.5975326232,6.5975326232,4.7987778752,1.9483511845,6.5975326232,4.7987778752,100.8993773740,98.4021952520,102.2427860999,98.8163789892,100.0000000000,100.0000000000,
0.0011620000,0.0020660200,0.0029100450,0.0038340650,0.0046980850,0.0056421051,0.0064861251,0.0074301451,0.0082941651,6.5975326232,3.7471059325,3.0000231272,6.5975326232,1.2012683792,6.5975326232,4.7987778752,6.5975326232,-0.5974863688,102.3993773740,100.6006226260,103.4986759830,101.6845604331,100.0000000000,100.0000000000,
0.0011820000,0.0021460200,0.0029900400,0.0039540650,0.0048580850,0.0057621051,0.0066261251,0.0075101451,0.0083541651,-0.5974863688,3.0000231272,3.7471059325,4.7987778752,6.5975326232,-0.5974863688,1.2012683792,4.7987778752,4.7987778752,100.0000000000,100.0000000000,101.6765022601,99.7129113506,100.0000000000,100.0000000000,
0.0012220000,0.0020860250,0.0030100450,0.0038740650,0.0047180850,0.0056221051,0.0065261251,0.0073901451,0.0083541651,5.5458606805,1.2012683792,3.0000231272,4.7987778752,1.2012683792,4.7987778752,-0.5974863688,6.5975326232,1.2012683792,99.8506226260,98.2011952520,98.2350350455,98.6401321212,100.0000000000,100.0000000000,
0.0011620000,0.0020260250,0.0028900450,0.0037540650,0.0046580850,0.0055821051,0.0065461251,0.0074701451,0.0083541651,1.9483511845,1.2012683792,4.7987778752,-0.5974863688,1.2012683792,3.0000231272,4.7987778752,1.2012683792,-0.5974863688,99.1006226260,99.1005726260,99.5551615541,99.2347427226,100.0000000000,100.0000000000,
0.0012020000,0.0020460200,0.0029900400,0.0038740600,0.0047980801,0.0056421051,0.0064861251,0.0073901451,0.0083341651,6.5975326232,6.5975326232,6.5975326232,1.2012683792,7.3446154285,-0.5974863688,6.5975326232,-0.5974863688,1.2012683792,100.0000000000,100.0000000000,102.5588852525,101.1292087302,100.0000000000,100.0000000000,
0.0012620000,0.0022660200,0.0031100400,0.0039540600,0.0048380801,0.0057421001,0.0065861201,0.0074301401,0.0083341651,1.2012683792,4.7987778752,1.2012683792,1.2012683792,4.7987778752,1.2012683792,4.7987778752,3.7471059325,3.0000231272,100.0000000000,99.7990000000,99.5322671976,100.3611953740,100.0000000000,100.0000000000,
0.0012420000,0.0020860200,0.0029300400,0.0038540600,0.0047180850,0.0055821051,0.0065461251,0.0074101451,0.0082741651,6.5975326232,4.7987778752,4.7987778752,1.9483511845,3.0000231272,-0.5974863688,-0.5974863688,6.5975326232,1.2012683792,99.2500000000,98.7009500000,101.9083933021,98.5761228509,100.0000000000,100.0000000000,
0.0012620000,0.0021060200,0.0030100400,0.0038540600,0.0046980801,0.0055421001,0.0064461251,0.0073701451,0.0083341651,3.0000231272,-0.5974863688,4.7987778752,4.7987778752,6.5975326232,5.5458606805,3.0000231272,1.2012683792,6.5975326232,102.5487547480,100.3996226260,100.6058919106,103.9797496830,100.0000000000,100.0000000000,
