Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Overhead + backofftime 3(s),Overhead + backofftime 4(s),Overhead + backofftime 5(s),Overhead + backofftime 6(s),Overhead + backofftime 7(s),Overhead + backofftime 8(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Distance host 6(m),Distance host 7(m),Distance host 8(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0011620000,0.0020260200,0.0028700400,0.0037140650,0.0046380850,0.0057421051,0.0066061251,0.0074701451,0.0083541651,4.7987778752,1.2012683792,3.7471059325,-0.5974863688,6.5975326232,6.5975326232,3.0000231272,6.5975326232,3.0000231272,100.8993773740,101.7987047480,101.8293361237,100.4315066415,100.0000000000,100.0000000000,
0.0011620000,0.0021260200,0.0030100400,0.0038540600,0.0047980801,0.0057021001,0.0065661251,0.0074301451,0.0082941651,3.0000231272,6.5975326232,4.7987778752,-0.5974863688,4.7987778752,3.7471059325,-0.5974863688,1.2012683792,-0.5974863688,100.7500000000,100.0000000000,100.7827816905,98.4998605459,100.0000000000,100.0000000000,
0.0011420000,0.0019860200,0.0029100400,0.0039140600,0.0047780801,0.0056221001,0.0065061201,0.0073901451,0.0083541651,3.0000231272,3.0000231272,4.7987778752,3.0000231272,1.2012683792,-0.5974863688,1.9483511845,3.0000231272,-0.5974863688,100.7500000000,99.7990000000,100.5749410347,100.3684726342,100.0000000000,100.0000000000,
0.0011820000,0.0020460200,0.0028900450,0.0037740650,0.0046180850,0.0055021051,0.0064461251,0.0072901451,0.0082741651,1.2012683792,0.1495964365,6.5975326232,6.5975326232,4.7987778752,-0.5974863688,6.5975326232,-0.5974863688,-0.5974863688,99.5264585973,100.0000000000,97.5110978759,99.7149079618,100.0000000000,100.0000000000,
0.0011420000,0.0020860200,0.0029500400,0.0037940600,0.0046980850,0.0056221051,0.0065061251,0.0074701451,0.0083141651,3.0000231272,3.0000231272,3.0000231272,5.5458606805,4.7987778752,3.0000231272,6.5975326232,4.7987778752,4.7987778752,100.7500000000,99.9999500000,101.1742744361,100.2745212281,100.0000000000,100.0000000000,
0.0011420000,0.0020460200,0.0028900400,0.0037340600,0.0045980801,0.0055221001,0.0063861201,0.0074301401,0.0082941651,6.5975326232,6.5975326232,6.5975326232,6.5975326232,1.2012683792,-0.5974863688,4.7987778752,7.3446154285,1.2012683792,100.8993773740,100.8993273740,98.5678346305,102.5583517743,100.0000000000,100.0000000000,
0.0012420000,0.0021060250,0.0029500450,0.0038740650,0.0047580850,0.0056621051,0.0065261251,0.0073901451,0.0082941651,1.9483511845,3.0000231272,4.7987778752,4.7987778752,6.5975326232,4.7987778752,4.7987778752,-0.5974863688,3.0000231272,100.1270812233,101.9997047480,100.5735723184,98.9058683464,100.0000000000,100.0000000000,
0.0012020000,0.0020860200,0.0029900400,0.0038340650,0.0046780850,0.0055421051,0.0064061251,0.0073501451,0.0083341651,3.0000231272,-0.5974863688,7.3446154285,4.7987778752,4.7987778752,4.7987778752,6.5975326232,-0.5974863688,3.0000231272,99.2500000000,97.3018678780,100.6158912712,99.2047960699,100.0000000000,100.0000000000,
0.0011420000,0.0022060200,0.0030500400,0.0039540600,0.0047980801,0.0056821001,0.0065461201,0.0074301451,0.0082941651,3.0000231272,3.0000231272,1.2012683792,4.7987778752,6.5975326232,-0.5974863688,0.1495964365,-0.5974863688,6.5975326232,101.5000000000,100.6285414027,104.1275660434,100.7008918020,100.0000000000,100.0000000000,
0.0012620000,0.0021860200,0.0030500400,0.0039140600,0.0048780801,0.0057621001,0.0066061201,0.0074701401,0.0083341601,3.0000231272,-0.5974863688,4.7987778752,3.0000231272,3.0000231272,-0.5974863688,1.2012683792,6.5975326232,0.1495964365,100.7500000000,98.7009500000,102.3870235101,99.5735380101,100.0000000000,100.0000000000,
0.0011620000,0.0020260200,0.0029300400,0.0037740600,0.0047780801,0.0057621001,0.0066061201,0.0074701401,0.0083341601,6.5975326232,4.7987778752,3.0000231272,-0.5974863688,-0.5974863688,4.7987778752,4.7987778752,1.2012683792,3.7471059325,100.7500000000,100.8993273740,100.6906656352,99.6084444857,100.0000000000,100.0000000000,
0.0012220000,0.0020860200,0.0029700400,0.0038140600,0.0046980801,0.0055421001,0.0064861201,0.0073901401,0.0082941651,3.0000231272,1.2012683792,6.5975326232,3.0000231272,6.5975326232,4.7987778752,3.0000231272,7.3446154285,-0.5974863688,100.0000000000,101.7987547480,98.9113061131,102.6382905865,100.0000000000,100.0000000000,
0.0012420000,0.0020860200,0.0029900400,0.0038540600,0.0047180801,0.0057621001,0.0066461201,0.0074901401,0.0083341601,4.7987778752,3.0000231272,6.5975326232,3.0000231272,4.7987778752,3.0000231272,4.7987778752,4.7987778752,5.5458606805,100.0000000000,99.7990000000,100.1958871385,100.8454016769,100.0000000000,100.0000000000,
0.0011420000,0.0020460200,0.0028900450,0.0038140650,0.0046780850,0.0055421051,0.0064661251,0.0073701451,0.0082941651,6.5975326232,5.5458606805,3.0000231272,3.0000231272,1.2012683792,-0.5974863688,3.0000231272,-0.5974863688,6.5975326232,100.7500000000,98.8996226260,97.7607642428,96.6189226443,100.0000000000,100.0000000000,
