Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0012620000,0.0022260067,0.0033500133,-0.8735952226,1.0001076399,4.7475133649,100.0000000000,101.0000000000,105.3846669646,105.5031903038,100.0000000000,100.0000000000,
0.0014420000,0.0023860067,0.0034100133,1.0001076399,4.7475133649,4.7475133649,99.0000000000,100.0000000000,94.6153330354,94.6153330354,100.0000000000,100.0000000000,
0.0013420000,0.0023860067,0.0032500133,-2.7472980851,4.7475133649,4.7475133649,101.0000000000,100.0000000000,103.7478090953,96.2521909047,100.0000000000,100.0000000000,
0.0023380067,0.0039620133,0.0051260200,4.7475133649,1.0001076399,4.7475133649,100.0000000000,101.0000000000,100.0000000000,110.7693339292,100.0000000000,100.0000000000,
0.0012820000,0.0022860067,0.0033900133,4.7475133649,-0.8735952226,-2.7472980851,100.9368514313,100.0000000000,98.3038804611,90.8082622705,100.0000000000,100.0000000000,
0.0014420000,0.0024660067,0.0033100133,-0.8735952226,4.7475133649,4.7475133649,100.0000000000,101.0000000000,100.0000000000,110.8878572684,100.0000000000,100.0000000000,
0.0013420000,0.0022460067,0.0033100133,-2.7472980851,4.7475133649,-2.7472980851,99.5000000000,100.5000000000,96.2521909047,103.7478090953,100.0000000000,100.0000000000,
0.0013420000,0.0023060067,0.0031700133,2.8738105024,4.7475133649,-0.8735952226,99.0000000000,100.0000000000,94.5560713658,101.6961195389,100.0000000000,100.0000000000,
0.0014820000,0.0024460067,0.0033100133,2.8738105024,-0.8735952226,4.7475133649,100.0000000000,101.0000000000,96.4299759135,107.3178331819,100.0000000000,100.0000000000,
0.0011420000,0.0021260067,0.0029700133,1.0001076399,-2.7472980851,4.7475133649,101.0000000000,100.0000000000,103.7478090953,107.0215248339,100.0000000000,100.0000000000,
0.0011420000,0.0022860067,0.0033700133,4.7475133649,4.7475133649,1.0001076399,99.0000000000,100.0000000000,94.6153330354,94.6153330354,100.0000000000,100.0000000000,
0.0011820000,0.0022260067,0.0032900133,2.8738105024,1.0001076399,-2.7472980851,99.0000000000,100.0000000000,101.6368578693,98.0075721131,100.0000000000,100.0000000000,
0.0011820000,0.0022460067,0.0032300133,1.0001076399,-0.8735952226,2.8738105024,99.0631485687,100.0000000000,99.9407383304,96.3114525743,100.0000000000,100.0000000000,
0.0016020000,0.0024660067,0.0033100133,2.8738105024,-2.7472980851,4.7475133649,99.0000000000,100.0000000000,96.2521909047,103.3922390777,100.0000000000,100.0000000000,
0.0014020000,0.0023060067,0.0034100133,-2.7472980851,1.0001076399,4.7475133649,99.0000000000,100.0000000000,101.6368578693,90.8675239401,100.0000000000,100.0000000000,
0.0014220000,0.0024460067,0.0033100133,1.0001076399,4.7475133649,-2.7472980851,99.0000000000,100.0000000000,96.2521909047,107.0215248339,100.0000000000,100.0000000000,
0.0011620000,0.0021060067,0.0030700133,-0.8735952226,-0.8735952226,-2.7472980851,100.0000000000,101.0000000000,100.0000000000,96.6077609223,100.0000000000,100.0000000000,
0.0014420000,0.0023860067,0.0033900133,1.0001076399,1.0001076399,4.7475133649,100.0000000000,100.0000000000,100.0000000000,89.2306660708,100.0000000000,100.0000000000,
0.0011620000,0.0021660067,0.0032300133,1.0001076399,4.7475133649,-2.7472980851,100.0000000000,101.0000000000,105.3846669646,102.1109512261,100.0000000000,100.0000000000,
0.0013020000,0.0023860067,0.0033100133,1.0001076399,2.8738105024,2.8738105024,100.9368514313,100.0000000000,101.8146428781,98.1853571219,100.0000000000,100.0000000000,
0.0013820000,0.0022460067,0.0034100133,-0.8735952226,1.0001076399,-2.7472980851,99.0000000000,100.0000000000,101.6368578693,101.7553812085,100.0000000000,100.0000000000,
0.0014020000,0.0022460067,0.0033500133,-2.7472980851,1.0001076399,1.0001076399,100.0000000000,101.0000000000,100.0000000000,96.7262842615,100.0000000000,100.0000000000,
0.0012620000,0.0022260067,0.0033300133,4.7475133649,-0.8735952226,1.0001076399,100.0000000000,101.0000000000,94.6153330354,105.5031903038,100.0000000000,100.0000000000,
0.0012020000,0.0021860067,0.0033300133,2.8738105024,-0.8735952226,1.0001076399,100.9368514313,100.0000000000,100.0592616696,96.3114525743,100.0000000000,100.0000000000,
0.0016420000,0.0025460067,0.0034100133,4.7475133649,-0.8735952226,2.8738105024,99.0000000000,100.0000000000,94.5560713658,101.6961195389,100.0000000000,100.0000000000,
0.0015220000,0.0023860067,0.0032500133,-0.8735952226,4.7475133649,-2.7472980851,100.9368514313,100.0000000000,98.3038804611,90.8082622705,100.0000000000,100.0000000000,
0.0011620000,0.0021660067,0.0030700133,1.0001076399,-0.8735952226,4.7475133649,100.9368514313,100.0000000000,100.0592616696,89.1714044012,100.0000000000,100.0000000000,
0.0012420000,0.0021260067,0.0032700133,1.0001076399,2.8738105024,4.7475133649,100.9368514313,100.0000000000,101.8146428781,91.0453089489,100.0000000000,100.0000000000,
0.0014820000,0.0024460067,0.0033900133,2.8738105024,2.8738105024,4.7475133649,99.5000000000,100.5000000000,96.4299759135,103.5700240865,100.0000000000,100.0000000000,
0.0011620000,0.0021060067,0.0032500133,-0.8735952226,2.8738105024,1.0001076399,100.0000000000,101.0000000000,98.1853571219,101.9331662173,100.0000000000,100.0000000000,
