Overhead + backofftime 0(s);Overhead + backofftime 1(s);Overhead + backofftime 2(s);Overhead + backofftime 3(s);Overhead + backofftime 4(s);Overhead + backofftime 5(s);Distance host 0(m);Distance host 1(m);Distance host 2(m);Distance host 3(m);Distance host 4(m);Distance host 5(m);Min max position X (m);Min max position Y (m);Likelihood position X (m);Likelihood position Y (m);Real position X (m);Real position Y (m)
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
0.001202;0.0020461;0.0029103;0.0037544;0.0046385;0.005482701;15.00011564;29.99993148;15.00011564;15.00011564;29.99993148;29.99993148;45;0;30;7.43168E-05;30;0
