Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0014420000,0.0023860400,0.0034100801,6.0000462544,9.5975557504,9.5975557504,98.2012452520,98.2012452520,97.6619782780,97.6619782780,100.0000000000,100.0000000000,
0.0011820000,0.0022460400,0.0032300801,6.0000462544,4.2012915064,7.7988010024,99.1006226260,101.2012452520,99.2354289694,97.1670338011,100.0000000000,100.0000000000,
0.0014020000,0.0023060400,0.0034100801,2.4025367584,6.0000462544,9.5975557504,98.2012452520,97.0000000000,98.7404844925,94.0644410486,100.0000000000,100.0000000000,
0.0014220000,0.0024460400,0.0033100801,6.0000462544,9.5975557504,2.4025367584,96.4024905040,101.2012452520,96.4024627706,101.0785062145,100.0000000000,100.0000000000,
0.0014420000,0.0023860400,0.0033900801,6.0000462544,6.0000462544,9.5975557504,100.0000000000,98.2012452520,100.0000000000,95.3239565561,100.0000000000,100.0000000000,
0.0012420000,0.0021260400,0.0032700801,6.0000462544,7.7988010024,9.5975557504,100.8993773740,102.1006226260,101.0341975842,96.3581541402,100.0000000000,100.0000000000,
0.0012420000,0.0025260400,0.0033900801,9.5975557504,9.5975557504,9.5975557504,100.0000000000,103.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0012420000,0.0021460400,0.0033100801,6.0000462544,6.0000462544,4.2012915064,99.1006226260,102.1006226260,99.2354289694,99.2354289694,100.0000000000,100.0000000000,
0.0013620000,0.0023060400,0.0032700801,6.0000462544,4.2012915064,6.0000462544,100.0000000000,103.8993773740,100.0000000000,101.5291420611,100.0000000000,100.0000000000,
0.0013020000,0.0022060400,0.0032100801,6.0000462544,2.4025367584,7.7988010024,98.2012452520,100.3018678780,98.7404844925,96.6720893242,100.0000000000,100.0000000000,
0.0013020000,0.0021460400,0.0033700801,7.7988010024,4.2012915064,2.4025367584,100.8993773740,100.3018678780,100.4949444769,95.9075182936,100.0000000000,100.0000000000,
0.0013820000,0.0022460400,0.0031700801,6.0000462544,2.4025367584,2.4025367584,98.2012452520,103.0000000000,98.7404844925,101.2595155075,100.0000000000,100.0000000000,
0.0011820000,0.0021260400,0.0033700801,2.4025367584,4.2012915064,9.5975557504,97.8993773740,103.0000000000,96.8974072475,104.0924817064,100.0000000000,100.0000000000,
0.0013820000,0.0022660400,0.0031700801,7.7988010024,7.7988010024,2.4025367584,97.3018678780,100.3018678780,97.7062869083,97.7062869083,100.0000000000,100.0000000000,
0.0012020000,0.0021260400,0.0029900801,6.0000462544,7.7988010024,7.7988010024,100.8993773740,103.0000000000,101.0341975842,98.9658024158,100.0000000000,100.0000000000,
0.0012620000,0.0023460400,0.0032500801,7.7988010024,4.2012915064,6.0000462544,100.8993773740,101.7987547480,101.0341975842,102.5633396453,100.0000000000,100.0000000000,
0.0012220000,0.0021860400,0.0032700801,9.5975557504,2.4025367584,7.7988010024,97.3018678780,100.0000000000,97.7062869083,95.0986386328,100.0000000000,100.0000000000,
0.0013020000,0.0021660400,0.0031700801,7.7988010024,2.4025367584,7.7988010024,102.6981321220,100.0000000000,102.2937130917,97.7062869083,100.0000000000,100.0000000000,
0.0014620000,0.0023260400,0.0033900801,6.0000462544,4.2012915064,2.4025367584,101.7987547480,100.8993773740,101.2595155075,100.2696265536,100.0000000000,100.0000000000,
0.0014220000,0.0023060400,0.0033500801,4.2012915064,2.4025367584,6.0000462544,100.8993773740,104.7987547480,100.7645710306,101.7544599844,100.0000000000,100.0000000000,
0.0013420000,0.0023060400,0.0032100801,4.2012915064,2.4025367584,2.4025367584,100.0000000000,102.1006226260,100.0000000000,99.0101110461,100.0000000000,100.0000000000,
0.0012220000,0.0021060400,0.0032500801,2.4025367584,6.0000462544,7.7988010024,98.2012452520,97.3018678780,98.7404844925,96.6720893242,100.0000000000,100.0000000000,
0.0012020000,0.0022260400,0.0033500801,2.4025367584,2.4025367584,7.7988010024,102.6981321220,103.0000000000,102.2937130917,102.2937130917,100.0000000000,100.0000000000,
0.0014020000,0.0023860400,0.0033500801,4.2012915064,9.5975557504,2.4025367584,96.4024905040,102.1006226260,96.4024627706,102.6076482756,100.0000000000,100.0000000000,
0.0012420000,0.0022260400,0.0031500801,9.5975557504,2.4025367584,9.5975557504,103.5975094960,100.0000000000,103.5975372294,96.4024627706,100.0000000000,100.0000000000,
0.0011420000,0.0020660400,0.0029700801,4.2012915064,7.7988010024,4.2012915064,101.7987547480,103.0000000000,101.7987686147,101.7987686147,100.0000000000,100.0000000000,
0.0011620000,0.0021660400,0.0030300801,2.4025367584,2.4025367584,9.5975557504,97.0000000000,103.0000000000,96.4024627706,103.5975372294,100.0000000000,100.0000000000,
0.0013820000,0.0024860400,0.0034100801,7.7988010024,7.7988010024,9.5975557504,100.0000000000,102.1006226260,100.0000000000,97.3923517244,100.0000000000,100.0000000000,
0.0012020000,0.0024060400,0.0033500801,4.2012915064,9.5975557504,4.2012915064,102.6981321220,103.0000000000,103.1025927525,103.1025927525,100.0000000000,100.0000000000,
0.0012020000,0.0021260400,0.0031700801,2.4025367584,7.7988010024,6.0000462544,97.3018678780,98.2012452520,97.7062869083,99.7746820767,100.0000000000,100.0000000000,
0.0015020000,0.0023660400,0.0034100801,9.5975557504,2.4025367584,2.4025367584,97.0000000000,103.0000000000,96.4024627706,103.5975372294,100.0000000000,100.0000000000,
0.0013220000,0.0022060400,0.0032500801,6.0000462544,7.7988010024,4.2012915064,98.2012452520,102.1006226260,98.2012313853,100.2696265536,100.0000000000,100.0000000000,
0.0012220000,0.0020860400,0.0031100801,4.2012915064,4.2012915064,7.7988010024,100.0000000000,101.2012452520,100.0000000000,96.4024627706,100.0000000000,100.0000000000,
0.0012020000,0.0021260400,0.0029700801,2.4025367584,9.5975557504,4.2012915064,102.1006226260,103.0000000000,103.1025927525,104.0924817064,100.0000000000,100.0000000000,
