Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Overhead + backofftime 3(s),Overhead + backofftime 4(s),Overhead + backofftime 5(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0012020000,0.0020460400,0.0029100801,0.0037541201,0.0046381601,0.0054822001,7.7988010024,6.0000462544,4.2012915064,6.0000462544,9.5975557504,7.7988010024,100.8993773740,100.8993773740,101.2182263359,100.4458841228,100.0000000000,100.0000000000,
0.0012420000,0.0021060400,0.0029700801,0.0038541201,0.0046981601,0.0056422001,9.5975557504,2.4025367584,6.0000462544,4.2012915064,4.2012915064,2.4025367584,98.2012452520,98.6986226260,98.2483279132,97.8519630451,100.0000000000,100.0000000000,
0.0011420000,0.0020060400,0.0030500801,0.0038941201,0.0048381601,0.0058422001,9.5975557504,9.5975557504,6.0000462544,7.7988010024,9.5975557504,7.7988010024,100.2987547480,99.5025226260,100.5965756303,99.0223407003,100.0000000000,100.0000000000,
0.0011620000,0.0020060400,0.0030500801,0.0038941201,0.0048781601,0.0058222001,7.7988010024,2.4025367584,9.5975557504,2.4025367584,9.5975557504,2.4025367584,100.0000000000,100.4019000000,103.2381601887,100.2470914000,100.0000000000,100.0000000000,
0.0012620000,0.0021460400,0.0032500801,0.0041141201,0.0049581601,0.0058022001,6.0000462544,7.7988010024,7.7988010024,9.5975557504,2.4025367584,6.0000462544,98.2012452520,99.5025226260,99.8621812713,99.3609888638,100.0000000000,100.0000000000,
0.0012220000,0.0020660400,0.0029100801,0.0039741201,0.0048781601,0.0057622001,2.4025367584,6.0000462544,9.5975557504,6.0000462544,2.4025367584,4.2012915064,98.5000000000,98.2012452520,97.1344104408,98.5814342894,100.0000000000,100.0000000000,
0.0011420000,0.0020260400,0.0030900801,0.0040341201,0.0049581601,0.0058222001,6.0000462544,9.5975557504,2.4025367584,7.7988010024,9.5975557504,6.0000462544,98.8018678780,103.1955094960,98.5675913092,102.7618656688,100.0000000000,100.0000000000,
0.0011420000,0.0021260400,0.0029900801,0.0038941201,0.0048581601,0.0058622001,4.2012915064,9.5975557504,4.2012915064,6.0000462544,4.2012915064,4.2012915064,100.0000000000,101.3012773740,101.0660352777,102.4150186803,100.0000000000,100.0000000000,
0.0011420000,0.0021260400,0.0029900801,0.0038941201,0.0048181601,0.0057622001,4.2012915064,4.2012915064,9.5975557504,6.0000462544,9.5975557504,9.5975557504,102.3993773740,102.6981321220,102.6268130502,103.1174714584,100.0000000000,100.0000000000,
0.0013820000,0.0022660400,0.0031900801,0.0040341201,0.0049781601,0.0058422001,2.4025367584,6.0000462544,4.2012915064,9.5975557504,9.5975557504,7.7988010024,100.6006226260,101.0980000000,100.9337677086,103.3473444814,100.0000000000,100.0000000000,
0.0012020000,0.0021060400,0.0030900801,0.0039741201,0.0048181601,0.0057822001,4.2012915064,7.7988010024,6.0000462544,9.5975557504,9.5975557504,6.0000462544,100.0000000000,101.3012773740,100.1285649291,101.5760508012,100.0000000000,100.0000000000,
0.0011820000,0.0020460400,0.0029100801,0.0040741201,0.0049381601,0.0058622001,9.5975557504,7.7988010024,9.5975557504,6.0000462544,4.2012915064,6.0000462544,99.3993773740,100.8993773740,99.9501971464,98.5925607031,100.0000000000,100.0000000000,
0.0012220000,0.0021260400,0.0030100801,0.0038541201,0.0047581601,0.0058822001,6.0000462544,4.2012915064,2.4025367584,7.7988010024,2.4025367584,4.2012915064,100.0000000000,100.0000000000,100.3084905721,100.5881044661,100.0000000000,100.0000000000,
0.0013020000,0.0021660400,0.0031300801,0.0040141201,0.0048781601,0.0058422001,4.2012915064,7.7988010024,7.7988010024,9.5975557504,6.0000462544,4.2012915064,100.8993773740,101.7987547480,101.7827368336,101.8750092763,100.0000000000,100.0000000000,
0.0011420000,0.0020860400,0.0029300801,0.0039341201,0.0049381601,0.0058222001,7.7988010024,9.5975557504,4.2012915064,7.7988010024,6.0000462544,7.7988010024,100.0000000000,97.7992452520,99.1816053140,98.3148673726,100.0000000000,100.0000000000,
0.0012020000,0.0021260400,0.0031100801,0.0040341201,0.0049781601,0.0058822001,6.0000462544,4.2012915064,7.7988010024,7.7988010024,4.2012915064,2.4025367584,99.1006226260,100.8992773740,98.6551802095,101.0049559235,100.0000000000,100.0000000000,
0.0012620000,0.0021260400,0.0031100801,0.0040141201,0.0048581601,0.0057022001,6.0000462544,9.5975557504,7.7988010024,9.5975557504,7.7988010024,6.0000462544,98.2012452520,101.3012773740,97.6559886443,99.4742249039,100.0000000000,100.0000000000,
0.0012820000,0.0021460400,0.0029900801,0.0038541201,0.0049581601,0.0058222001,6.0000462544,4.2012915064,4.2012915064,6.0000462544,4.2012915064,7.7988010024,100.0000000000,99.5980000000,99.3024392809,97.9861953395,100.0000000000,100.0000000000,
0.0012420000,0.0020860400,0.0029500801,0.0038541201,0.0048781601,0.0057822001,9.5975557504,2.4025367584,6.0000462544,7.7988010024,9.5975557504,7.7988010024,100.2987547480,97.3017678780,97.9793645876,98.1464061448,100.0000000000,100.0000000000,
0.0012220000,0.0020660400,0.0029100801,0.0039541201,0.0048581601,0.0057622001,7.7988010024,7.7988010024,9.5975557504,2.4025367584,7.7988010024,4.2012915064,100.6006226260,101.3012773740,102.8179156166,99.6712092163,100.0000000000,100.0000000000,
