Overhead + backofftime 0(s);Overhead + backofftime 1(s);Overhead + backofftime 2(s);Distance host 0(m);Distance host 1(m);Distance host 2(m);Min max position X (m);Min max position Y (m);Likelihood position X (m);Likelihood position Y (m);Real position X (m);Real position Y (m)
0.001282;0.002286067;0.003390133;9.999877229;9.999877229;9.999877229;10;0;10;0;10;0
0.001262;0.002226067;0.003350133;9.999877229;9.999877229;9.999877229;10;0;10;0;10;0
0.001182;0.002246067;0.003230133;9.999877229;9.999877229;9.999877229;0.000245542;0;10;0;10;0
0.001442;0.002466067;0.003310133;9.999877229;9.999877229;9.999877229;10;0;10;0;10;0
0.001602;0.002466067;0.003310133;9.999877229;9.999877229;9.999877229;10;0;10;0;10;0
0.001342;0.002246067;0.003310133;9.999877229;9.999877229;9.999877229;0.000245542;0;10;0;10;0
0.001442;0.002386067;0.003410133;9.999877229;9.999877229;9.999877229;0.000245542;0;10;0;10;0
0.001402;0.002306067;0.003410133;9.999877229;9.999877229;9.999877229;0.000245542;0;10;0;10;0
0.001482;0.002446067;0.003310133;9.999877229;9.999877229;9.999877229;0.000245542;0;10;0;10;0
0.001342;0.002306067;0.003170133;9.999877229;9.999877229;9.999877229;10;0;10;0;10;0
0.001342;0.002386067;0.003250133;9.999877229;9.999877229;9.999877229;0.000245542;0;10;0;10;0
0.001422;0.002446067;0.003310133;9.999877229;9.999877229;9.999877229;10;0;10;0;10;0
0.001142;0.002126067;0.002970133;9.999877229;9.999877229;9.999877229;10;0;10;0;10;0
0.001142;0.002286067;0.003370133;9.999877229;9.999877229;9.999877229;10;0;10;0;10;0
0.001182;0.002226067;0.003290133;9.999877229;9.999877229;9.999877229;10;0;10;0;10;0
0.001162;0.002106067;0.003070133;9.999877229;9.999877229;9.999877229;0.000245542;0;10;0;10;0
0.001642;0.002546067;0.003410133;9.999877229;9.999877229;9.999877229;0.000245542;0;10;0;10;0
0.001442;0.002386067;0.003390133;9.999877229;9.999877229;9.999877229;0.000245542;0;10;0;10;0
0.001522;0.002386067;0.003250133;9.999877229;9.999877229;9.999877229;0.000245542;0;10;0;10;0
0.001162;0.002166067;0.003230133;9.999877229;9.999877229;9.999877229;0.000245542;0;10;0;10;0
0.001162;0.002166067;0.003070133;9.999877229;9.999877229;9.999877229;0.000245542;0;10;0;10;0
0.001302;0.002386067;0.003310133;9.999877229;9.999877229;9.999877229;0.000245542;0;10;0;10;0
0.001242;0.002126067;0.003270133;9.999877229;9.999877229;9.999877229;0.000245542;0;10;0;10;0
0.001382;0.002246067;0.003410133;9.999877229;9.999877229;9.999877229;10;0;10;0;10;0
0.001402;0.002246067;0.003350133;9.999877229;9.999877229;9.999877229;10;0;10;0;10;0
0.001262;0.002226067;0.003330133;9.999877229;9.999877229;9.999877229;0.000245542;0;10;0;10;0
0.001202;0.002186067;0.003330133;9.999877229;9.999877229;9.999877229;10;0;10;0;10;0
0.001482;0.002446067;0.003390133;9.999877229;9.999877229;9.999877229;10;0;10;0;10;0
0.001162;0.002106067;0.003250133;9.999877229;9.999877229;9.999877229;10;0;10;0;10;0
0.001262;0.002246067;0.003150133;9.999877229;9.999877229;9.999877229;0.000245542;0;10;0;10;0
