Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Overhead + backofftime 3(s),Overhead + backofftime 4(s),Overhead + backofftime 5(s),Overhead + backofftime 6(s),Overhead + backofftime 7(s),Overhead + backofftime 8(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Distance host 6(m),Distance host 7(m),Distance host 8(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0011620000,0.0020260067,0.0028700133,0.0037140200,0.0046380267,0.0057420328,0.0066060395,0.0074700461,0.0083540528,2.7988623879,-0.7986471081,1.0001076399,-2.5974018561,4.5139750401,4.5976171359,1.0001076399,4.5976171359,1.0001076399,99.5000000000,100.8660000000,96.4213227762,96.1295722853,100.0000000000,100.0000000000,
0.0011620000,0.0021260061,0.0030100128,0.0038540195,0.0047980261,0.0057020328,0.0065660395,0.0074300461,0.0082940528,0.9164655441,4.5976171359,2.7988623879,-2.5974018561,2.7988623879,1.0001076399,-2.5974018561,-0.7986471081,-2.5974018561,99.5000000000,100.5000000000,99.6173599228,100.3105047795,100.0000000000,100.0000000000,
0.0011420000,0.0019860067,0.0029100133,0.0039140195,0.0047780261,0.0056220328,0.0065060395,0.0073900461,0.0083540528,1.0001076399,1.0001076399,2.7152202921,1.0001076399,-0.7986471081,-2.5974018561,-0.7986471081,1.0001076399,-2.5974018561,99.7500000000,100.8993773740,100.2908167480,98.5128344166,100.0000000000,100.0000000000,
0.0011820000,0.0020460067,0.0028900133,0.0037740200,0.0046180267,0.0055020334,0.0064460400,0.0072900461,0.0082740528,-0.7986471081,-2.5974018561,4.5976171359,4.5976171359,2.7988623879,-2.5974018561,4.5139750401,-2.5974018561,-2.5974018561,100.0000000000,100.0670000000,101.6394616501,100.1508766648,100.0000000000,100.0000000000,
0.0011420000,0.0020860067,0.0029500128,0.0037940195,0.0046980261,0.0056220328,0.0065060395,0.0074700461,0.0083140528,1.0001076399,0.9164655441,1.0001076399,2.7988623879,2.7988623879,1.0001076399,4.5976171359,2.7988623879,2.7988623879,100.1918210479,99.9330000000,98.9038582390,99.3984477436,100.0000000000,100.0000000000,
0.0011420000,0.0020460061,0.0028900128,0.0037340195,0.0045980261,0.0055220328,0.0063860395,0.0074300461,0.0082940528,4.5139750401,4.5976171359,4.5976171359,4.5976171359,-0.7986471081,-2.5974018561,2.7988623879,4.5976171359,-0.7986471081,99.5000000000,100.8323773740,102.4410828595,96.0250326230,100.0000000000,100.0000000000,
0.0012420000,0.0021060067,0.0029500128,0.0038740195,0.0047580261,0.0056620328,0.0065260395,0.0073900461,0.0082940528,-0.7986471081,0.9164655441,2.7988623879,2.7988623879,4.5976171359,2.7988623879,2.7988623879,-2.5974018561,1.0001076399,99.0000000000,100.0000000000,100.1018984612,101.7617840240,100.0000000000,100.0000000000,
0.0012020000,0.0020860067,0.0029900133,0.0038340200,0.0046780267,0.0055420334,0.0064060400,0.0073500467,0.0083340534,1.0001076399,-2.5974018561,4.5976171359,2.7988623879,2.7988623879,2.7988623879,4.5976171359,-2.5974018561,0.9164655441,100.2500000000,100.9330000000,104.7509881064,99.7655596226,100.0000000000,100.0000000000,
0.0011420000,0.0022060067,0.0030500133,0.0039540200,0.0047980267,0.0056820334,0.0065460400,0.0074300467,0.0082940528,1.0001076399,1.0001076399,-0.7986471081,2.7988623879,4.5976171359,-2.5974018561,-2.5974018561,-2.6810439519,4.5976171359,99.9418210479,99.5670000000,94.5592151709,98.6419944464,100.0000000000,100.0000000000,
0.0012620000,0.0021860067,0.0030500128,0.0039140195,0.0048780261,0.0057620328,0.0066060395,0.0074700461,0.0083340528,1.0001076399,-2.6810439519,2.7988623879,1.0001076399,1.0001076399,-2.5974018561,-0.7986471081,4.5976171359,-2.5974018561,100.1918210479,100.0000000000,97.9131461059,101.3641635943,100.0000000000,100.0000000000,
0.0011620000,0.0020260067,0.0029300133,0.0037740200,0.0047780267,0.0057620328,0.0066060395,0.0074700461,0.0083340528,4.5976171359,2.7988623879,1.0001076399,-2.5974018561,-2.6810439519,2.7988623879,2.7988623879,-0.7986471081,1.0001076399,100.6918210479,99.3852710479,99.3052279797,98.5837143331,100.0000000000,100.0000000000,
0.0012220000,0.0020860067,0.0029700133,0.0038140195,0.0046980261,0.0055420328,0.0064860395,0.0073900461,0.0082940528,1.0001076399,-0.7986471081,4.5139750401,1.0001076399,4.5976171359,2.7988623879,1.0001076399,4.5976171359,-2.5974018561,99.0000000000,100.0000000000,98.8897086260,100.3908304169,100.0000000000,100.0000000000,
0.0012420000,0.0020860067,0.0029900133,0.0038540200,0.0047180267,0.0057620334,0.0066460400,0.0074900467,0.0083340528,2.7988623879,1.0001076399,4.5976171359,1.0001076399,2.7988623879,1.0001076399,2.7988623879,2.7152202921,2.7988623879,100.0000000000,100.0670000000,98.6627387151,101.0699059085,100.0000000000,100.0000000000,
0.0011420000,0.0020460061,0.0028900128,0.0038140195,0.0046780261,0.0055420328,0.0064660395,0.0073700461,0.0082940528,4.5139750401,2.7988623879,1.0001076399,1.0001076399,-0.7986471081,-2.5974018561,1.0001076399,-2.5974018561,4.5976171359,100.0000000000,100.0000000000,105.2653814640,101.3279272852,100.0000000000,100.0000000000,
0.0011620000,0.0020060061,0.0028700128,0.0037340195,0.0046380261,0.0056620328,0.0065860395,0.0074500461,0.0083340528,2.7152202921,-0.7986471081,1.0001076399,-0.7986471081,2.7988623879,2.7988623879,-0.7986471081,-0.7986471081,2.7988623879,100.2500000000,100.0000000000,99.8820659278,101.9350351036,100.0000000000,100.0000000000,
0.0013420000,0.0022060067,0.0030700128,0.0039540195,0.0048180261,0.0057620328,0.0066060395,0.0074700461,0.0083540528,2.7988623879,0.9164655441,1.0001076399,-0.7986471081,2.7988623879,-2.5974018561,2.7988623879,4.5976171359,-0.7986471081,99.5000000000,100.8660000000,99.5965646163,97.8116683323,100.0000000000,100.0000000000,
0.0011820000,0.0020260067,0.0028900133,0.0039540200,0.0048380267,0.0056820334,0.0066060400,0.0074700467,0.0083340534,-0.7986471081,-2.5974018561,-2.5974018561,4.5976171359,-2.5974018561,4.5976171359,4.5976171359,-0.7986471081,-2.6810439519,100.0000000000,99.5670000000,102.1866247318,102.0165743898,100.0000000000,100.0000000000,
0.0012220000,0.0021860067,0.0030300133,0.0038940200,0.0047380267,0.0056620334,0.0065860395,0.0074300461,0.0083140528,-0.7986471081,4.5976171359,-0.7986471081,1.0001076399,-0.7986471081,-2.6810439519,4.5976171359,2.7988623879,-2.5974018561,100.4418210479,99.3182710479,101.2754626485,100.3417033477,100.0000000000,100.0000000000,
0.0011620000,0.0020060067,0.0029100133,0.0038340195,0.0047180261,0.0055620328,0.0064060395,0.0075100461,0.0083540528,1.0001076399,-0.7986471081,-2.6810439519,1.0001076399,4.5976171359,1.0001076399,-2.5974018561,1.0001076399,1.0001076399,99.9418210479,99.7346289521,102.6935823300,99.8485057026,100.0000000000,100.0000000000,
0.0011820000,0.0020460067,0.0029100133,0.0038340200,0.0047180261,0.0056420328,0.0065460395,0.0074100461,0.0083140528,-0.7986471081,-2.5974018561,2.7988623879,0.9164655441,4.5976171359,1.0001076399,1.0001076399,2.7988623879,1.0001076399,100.0000000000,99.0336226260,99.1511185625,97.3333091075,100.0000000000,100.0000000000,
0.0011420000,0.0020660067,0.0029100133,0.0038940200,0.0047380267,0.0056020334,0.0064460400,0.0072900461,0.0082740528,4.5976171359,1.0001076399,-0.7986471081,2.7988623879,-0.7986471081,2.7988623879,-0.8822892039,4.5976171359,-2.5974018561,100.5000000000,99.1340000000,101.0508031568,100.3410016811,100.0000000000,100.0000000000,
0.0011820000,0.0020260067,0.0028700133,0.0038340200,0.0047180267,0.0055620334,0.0065860400,0.0075100467,0.0083540528,2.7988623879,-2.5974018561,4.5976171359,1.0001076399,2.7988623879,4.5976171359,-0.7986471081,-2.6810439519,2.7988623879,100.6918210479,99.3852710479,102.0197179133,98.1447196901,100.0000000000,100.0000000000,
0.0011620000,0.0020060067,0.0028500133,0.0037140200,0.0045580261,0.0054220328,0.0065260395,0.0074100461,0.0083540528,1.0001076399,4.5976171359,2.7988623879,-0.8822892039,-0.7986471081,-2.5974018561,1.0001076399,4.5976171359,4.5976171359,99.0424436739,100.0000000000,103.6140164448,97.6339722228,100.0000000000,100.0000000000,
0.0012620000,0.0021460067,0.0030100128,0.0039940195,0.0048780261,0.0057220328,0.0065860395,0.0075100461,0.0083540528,-2.5974018561,2.7152202921,-0.7986471081,4.5976171359,4.5976171359,2.7988623879,-0.7986471081,4.5976171359,2.7988623879,100.0000000000,99.5336226260,97.3291858434,99.6177665360,100.0000000000,100.0000000000,
0.0011620000,0.0020660067,0.0029100133,0.0038340200,0.0046980267,0.0056420334,0.0064860400,0.0074300467,0.0082940534,4.5976171359,1.0001076399,1.0001076399,4.5976171359,-0.7986471081,4.5976171359,2.7988623879,4.5976171359,-2.6810439519,100.8000000000,99.5529000000,99.4265851222,96.8890298546,100.0000000000,100.0000000000,
0.0011820000,0.0021460067,0.0029900128,0.0039540195,0.0048580261,0.0057620328,0.0066260395,0.0075100461,0.0083540528,-2.5974018561,0.9164655441,1.0001076399,2.7988623879,4.5976171359,-2.5974018561,-0.7986471081,2.7988623879,2.7988623879,99.5000000000,100.0000000000,101.2877767289,98.3126306764,100.0000000000,100.0000000000,
0.0012220000,0.0020860067,0.0030100133,0.0038740200,0.0047180267,0.0056220328,0.0065260395,0.0073900461,0.0083540528,2.7988623879,-0.7986471081,1.0001076399,2.7988623879,-0.8822892039,2.7988623879,-2.5974018561,4.5976171359,-0.7986471081,100.5000000000,100.8660000000,102.9896405403,101.3130282172,100.0000000000,100.0000000000,
0.0011620000,0.0020260067,0.0028900128,0.0037540195,0.0046580261,0.0055820328,0.0065460395,0.0074700461,0.0083540528,-0.7986471081,-0.8822892039,2.7988623879,-2.5974018561,-0.7986471081,1.0001076399,2.7988623879,-0.7986471081,-2.5974018561,100.7500000000,100.4330000000,99.3706127484,99.1941708372,100.0000000000,100.0000000000,
0.0012020000,0.0020460067,0.0029900133,0.0038740200,0.0047980267,0.0056420334,0.0064860400,0.0073900467,0.0083340534,4.5976171359,4.5976171359,4.5976171359,-0.7986471081,4.5976171359,-2.5974018561,4.5976171359,-2.5974018561,-0.8822892039,99.5000000000,100.5000000000,105.8455255109,99.8203992197,100.0000000000,100.0000000000,
